account_name,example_properties_or_brands,primary_region,tier,segment,property_count_band,demand_sensitivity,likely_buying_center,hypothesized_pain,primary_value_angle,contact_source_needed,source_url,verification_status,next_action
JR九州ホテルズアンドリゾーツ,THE BLOSSOM / JR九州ホテル / 温泉旅館,九州・福岡,Tier 1,city hotel / resort / ryokan,large,event / business / leisure,HQ Revenue / 営業企画 / GM,複数施設で需要変化と料金判断の基準を揃えたい,Portfolio workflow + demand alerts,company site / LinkedIn / introduction,https://www.jrk-hotels.co.jp/company/,public source verified,Tier 1 account briefを作成
西鉄ホテルズ,ソラリア西鉄ホテル / 西鉄イン / CROOM,福岡・九州,Tier 1,business hotel / city hotel,large,event / business / inbound,HQ Revenue / 営業企画 / GM,福岡市内の複数施設で競合料金変化を同じ見方で確認したい,Portfolio rate intelligence,company site / LinkedIn,https://nnr-h.com/,needs verification,公式会社情報と施設一覧を確認
ニューオータニ九州,ホテルニューオータニ博多 / 佐賀,福岡・佐賀,Tier 1,full service hotel,medium,event / banquet / business,Executive / GM / Sales,大型イベント・宴会需要と宿泊料金判断をつなげたい,event demand workflow,company site / phone / introduction,https://www.kys-newotani.co.jp/hakata/company/profile/,public source verified,GM/HQ向け提案メモを作成
ホテルオークラ福岡,ホテルオークラ福岡,福岡,Tier 1,full service hotel,medium,event / inbound / business,Executive / GM / Revenue,都市型高単価ホテルで競合変化とイベント需要を早く捉えたい,rate opportunity alerts,company site / phone,https://www.fuk.hotelokura.co.jp/company/,public source verified,施設向け個別仮説を作成
博多住吉ホテルマネジメント,グランド ハイアット 福岡,福岡,Tier 1,full service hotel,medium,event / inbound / business,Executive / GM / Revenue,宴会・イベント・周辺需要と宿泊販売の連動を強めたい,event + rate workflow,company site / phone,https://www.grandhyattfukuoka.com/company/index.html,public source verified,役職別メッセージを作成
博多グリーンホテル,博多グリーンホテル 1号館 / アネックス / 天神,福岡,Tier 1,business hotel,medium,business / event / weekday,Executive / GM / OTA,博多駅前・天神で競合料金と稼働期の判断が手作業になりやすい,comp-set alerts,company site / phone,https://www.hakata-green.co.jp/company/,public source verified,福岡駅前ユースケースで接触
アメイズ,AZ HOTEL,九州・全国,Tier 1,budget / roadside hotel,large,business / regional / event,HQ / Area Manager,多施設で日別需要と料金判断の運用差が出やすい,portfolio operating layer,company site / IR,https://www.az-hotels.co.jp/outline/,public source verified,HQ向け複数施設提案を作成
ホテル旅館マネジメント,ホテル・旅館の運営受託 / コンサルティング,福岡・全国,Tier 1,operator / consulting,medium,portfolio / turnaround,Executive / Consulting lead,運営受託先でRevenue運用を標準化したい,partner + workflow,company site / phone,https://www.kk-hrm.co.jp/,public source verified,パートナー提案として接触
リッチモンドホテルズ,リッチモンドホテル福岡天神 / 博多駅前ほか,九州・全国,Tier 1,business hotel / city hotel,large,business / event / inbound,HQ Revenue / Area Manager / GM,都市型施設で競合価格変化の優先順位づけが必要,rate opportunity workflow,company site / LinkedIn,https://richmondhotel.jp/,needs verification,九州施設と運営窓口を確認
ロイヤルパークホテルズ,THE ロイヤルパークホテル 福岡 / キャンバス福岡中洲,福岡・全国,Tier 1,city hotel,large,inbound / event / business,HQ Revenue / GM,福岡市内の複数ブランドで需要変化を見たい,market intelligence + workflow,company site / LinkedIn,https://www.royalparkhotels.co.jp/,needs verification,福岡施設の運営体制を確認
オリックス・ホテルマネジメント,CROSS Life 博多天神 / CROSS Life 博多柳橋ほか,福岡・全国,Tier 1,city hotel / resort,large,inbound / leisure / event,HQ Revenue / GM,ライフスタイルホテルでイベント・競合変化への反応速度を上げたい,demand alerts,company site / LinkedIn,https://www.orixhotelsandresorts.com/,needs verification,福岡施設の決裁導線を確認
三井不動産ホテルマネジメント,三井ガーデンホテル福岡祇園 / 中洲,福岡・全国,Tier 1,city hotel,large,inbound / business / event,HQ Revenue / GM,都市型複数施設で料金機会の判断基準を揃えたい,portfolio rate intelligence,company site / LinkedIn,https://corp.gardenhotels.co.jp/,needs verification,福岡エリア施設リストを確認
ダイワロイネットホテルズ,ダイワロイネットホテル博多冷泉PREMIERほか,福岡・全国,Tier 1,business hotel,large,business / event,HQ Revenue / Area Manager,ビジネスホテルで日次の競合価格変化を運用に落としたい,comp-rate alert workflow,company site / LinkedIn,https://www.daiwaroynet.jp/,needs verification,九州施設の本部窓口を確認
相鉄ホテルマネジメント,相鉄フレッサイン福岡天神ほか,福岡・全国,Tier 1,business hotel,large,business / inbound / event,HQ Revenue / GM,チェーン施設で料金判断の属人化を抑えたい,standardized revenue workflow,company site / LinkedIn,https://sotetsu-hotels.com/,needs verification,九州施設と担当部署を確認
ホテルマイステイズ,ホテルマイステイズ福岡天神 / 天神南ほか,福岡・全国,Tier 1,business hotel / resort,large,business / leisure / event,HQ Revenue / Area Manager,多ブランド・多施設で市場変化を横断管理したい,portfolio alerts,company site / LinkedIn,https://www.mystays.com/,needs verification,福岡・九州施設を確認
共立メンテナンス,ドーミーイン / 御宿野乃,九州・全国,Tier 1,business hotel / hot spring,large,business / leisure / event,HQ Revenue / Area Manager,出張・観光需要の変化を施設横断で把握したい,demand + rate workflow,company site / IR,https://www.kyoritsugroup.co.jp/,needs verification,九州ホテル事業窓口を確認
ルートインジャパン,ホテルルートイン,九州・全国,Tier 1,business hotel,large,business / regional / event,HQ / Area Manager,地域イベントと法人需要の変化を多施設で管理したい,portfolio operating layer,company site,https://www.route-inn.co.jp/,needs verification,九州エリア施設を確認
東横イン,東横INN,福岡・九州・全国,Tier 1,budget / business hotel,large,business / event,HQ / Area Manager,多数施設で価格・需要変化を標準化して確認したい,portfolio alert workflow,company site,https://www.toyoko-inn.com/,needs verification,法人窓口と九州施設を確認
アパホテル,アパホテル,福岡・九州・全国,Tier 1,business hotel,large,event / business / inbound,HQ Revenue / Area Manager,都市型競争エリアで需要変化への反応速度が重要,rate intelligence,company site,https://www.apahotel.com/,needs verification,九州施設と本部窓口を確認
スーパーホテル,スーパーホテル,福岡・九州・全国,Tier 1,business hotel,large,business / event,HQ / Area Manager,中価格帯ホテルで手作業の料金確認を減らしたい,alert workflow,company site,https://www.superhotel.co.jp/,needs verification,九州施設の管理体制を確認
グリーンズ,コンフォートホテル,福岡・九州・全国,Tier 1,business hotel,large,business / event / inbound,HQ Revenue / Area Manager,全国チェーンで地域別需要変化を可視化したい,portfolio rate intelligence,company site / IR,https://www.kk-greens.jp/,needs verification,福岡・九州施設を確認
ソラーレホテルズ,チサン / ロワジール / ザ・スクエアホテルほか,九州・全国,Tier 1,operator / multi-brand,large,business / leisure / event,HQ Revenue / Area Manager,複数ブランドで競合セットと通知ルールを整えたい,portfolio workflow,company site,https://www.solarehotels.com/,needs verification,九州施設一覧を確認
